timestep	potential_energy	kinetic_energy	temperature	time
0	59550.09611	6018.500813	1.003334302	0.121929
100	59522.76754	5981.3175	0.9971355338	1.357144
200	59506.41417	5829.047681	0.9717508846	2.142066
300	59617.57004	5880.573677	0.9803406981	2.888382
400	59436.37026	5949.073485	0.9917601876	3.778481
500	59443.72928	6081.255655	1.013796058	4.694029
600	59621.36559	6024.353128	1.004309932	5.436952
700	59598.93792	6041.915656	1.007237752	6.298522
800	59516.46908	6011.768333	1.002211942	7.194246
900	59525.20861	6002.892809	1.000732318	8.071944
1000	59568.16405	5977.932772	0.9965712715	9.033692
1100	59409.90558	6009.555133	1.001842983	9.940743
1200	59610.82919	5857.384099	0.9764748019	10.715696
1300	59570.14664	5915.846569	0.9862209835	11.393928
1400	59625.11018	5985.72047	0.9978695457	12.082935
1500	59399.96613	6002.733115	1.000705696	12.808945
1600	59368.85681	6090.413442	1.015322738	13.52364
1700	59562.25994	5978.60092	0.9966826573	14.380884
1800	59490.4515	6019.698122	1.003533904	15.080823
1900	59683.42501	5908.21946	0.9849494807	15.74334
2000	59586.8398	6011.014822	1.002086325	16.408344
2100	59645.82508	6039.517909	1.006838028	17.075668
2200	59579.27881	5887.843172	0.9815525835	17.74095
2300	59608.58983	5855.629662	0.9761823226	18.378826
2400	59490.24917	6065.113469	1.011105021	19.197521
2500	59564.0202	5931.835015	0.9888863908	19.919528
2600	59531.86648	5907.635596	0.9848521458	20.624579
2700	59660.67321	6035.094576	1.006100621	21.304735
2800	59449.45559	6020.114847	1.003603375	22.098985
2900	59585.57621	6104.952953	1.017746595	22.824959
3000	59515.94594	6034.344036	1.0059755	23.4902
3100	59450.71437	6024.446727	1.004325536	24.316579
3200	59413.92153	5916.421458	0.9863168222	24.990027
3300	59444.9704	5870.124034	0.9785986553	25.641476
3400	59354.32268	6012.033195	1.002256097	26.259271
3500	59545.4441	5909.710428	0.9851980374	26.876436
3600	59530.82733	5984.062079	0.9975930781	27.490438
3700	59364.73387	5856.911197	0.9763959651	28.135139
3800	59321.2182	6070.62165	1.012023281	28.783799
3900	59454.71831	6069.948493	1.01191106	29.416229
4000	59467.35258	5855.974799	0.9762398598	30.110046
4100	59511.21485	5918.279932	0.9866266454	30.776512
4200	59555.24914	6068.131546	1.01160816	31.437361
4300	59393.14282	6022.887564	1.00406561	32.0934
4400	59456.53865	6048.226581	1.008289836	32.717053
4500	59450.80056	5987.402354	0.9981499298	33.337573
4600	59436.73127	5982.781266	0.997379556	33.99702
4700	59398.01995	6120.882233	1.020402139	34.650725
4800	59577.64364	6048.07575	1.008264691	35.275576
4900	59564.23813	6034.316758	1.005970952	35.893422
5000	59361.44974	5990.598875	0.9986828166	36.541868
5100	59330.36304	5917.990263	0.9865783551	37.167108
5200	59539.19336	6119.154392	1.020114094	37.82456
5300	59716.74038	5991.635888	0.9988556953	38.453719
5400	59448.53318	5992.172165	0.9989450971	39.109568
5500	59442.13805	5901.972653	0.9839080858	39.767289
5600	59577.13859	6053.867111	1.009230159	40.43967
5700	59354.4113	6039.607647	1.006852988	41.113653
5800	59494.78628	6036.927296	1.006406151	41.758225
5900	59578.10593	5907.591057	0.9848447206	42.41986
6000	59380.21032	5973.337594	0.995805217	43.077059
6100	59509.571	5991.704189	0.9988670816	43.737473
6200	59273.99176	6047.859377	1.00822862	44.392056
6300	59473.13548	5893.816017	0.9825483066	45.049856
6400	59301.8658	5973.683033	0.9958628046	45.712534
6500	59440.06522	5927.165996	0.9881080264	46.366156
6600	59406.30714	6054.201127	1.009285843	47.031716
6700	59327.95793	5984.708936	0.9977009146	47.68884
6800	59436.61637	5982.370692	0.9973111097	48.346434
6900	59504.25103	5868.906714	0.9783957179	49.014041
7000	59433.05421	5941.705488	0.990531881	49.673813
7100	59478.35043	5989.81574	0.9985522613	50.349275
7200	59592.76566	5973.760694	0.9958757514	51.021039
7300	59563.034	5975.075866	0.9960950014	51.680336
7400	59605.44813	5917.981294	0.9865768599	52.33512
7500	59495.90813	6042.886915	1.007399669	53.002347
7600	59459.22991	5863.256888	0.9774538447	53.659595
7700	59405.69134	5897.413921	0.9831481071	54.33727
7800	59487.35822	5873.438495	0.9791512036	54.994561
7900	59464.75487	6076.987094	1.013084453	55.639732
8000	59368.83539	6018.88877	1.003398978	56.29524
8100	59304.9888	5931.963619	0.9889078301	56.95451
8200	59450.90178	6000.065754	1.000261024	57.617903
8300	59567.00478	6006.458914	1.001326817	58.269114
8400	59333.40534	5981.496285	0.9971653389	58.931704
8500	59420.55806	5944.090451	0.9909294742	59.59245
8600	59553.32066	5873.592843	0.9791769347	60.259774
8700	59400.85981	6134.067732	1.022600272	60.922333
8800	59390.08479	5910.762324	0.9853733974	61.583861
8900	59349.83064	5900.877453	0.9837255069	62.241115
9000	59502.46132	5998.615849	1.000019313	62.899521
9100	59351.08846	5991.474301	0.9988287573	63.541226
9200	59472.52805	6055.943594	1.009576326	64.19558
9300	59369.12881	5846.901346	0.9747272394	64.881657
9400	59476.81654	5934.436869	0.9893201415	65.562502
9500	59397.49627	6053.421128	1.00915581	66.258541
9600	59542.21827	5972.142512	0.9956059868	66.944904
9700	59462.98192	5952.811906	0.9923834136	67.737331
9800	59504.56655	6057.601583	1.009852727	68.361942
9900	59557.49671	6016.909555	1.003069026	68.979271
