timestep	potential_energy	kinetic_energy	temperature	time
0	70416.39401	6018.500813	1.003334302	0.048047
100	70337.68032	5924.455593	0.9876561795	1.488904
200	70277.10028	5994.350944	0.9993083177	2.189339
300	70477.31998	5995.144247	0.999440568	2.796588
400	70349.5183	5900.146686	0.9836036819	3.383176
500	70280.47368	6039.014263	1.006754066	3.979215
600	70302.22264	5893.756175	0.9825383304	4.578492
700	70363.84645	5955.903319	0.9928987778	5.180358
800	70415.01947	5952.913407	0.9924003346	5.768686
900	70443.14684	6023.098746	1.004100816	6.352731
1000	70361.49548	5915.161644	0.9861068007	6.936836
1100	70348.74904	5981.129882	0.9971042564	7.563495
1200	70262.2295	6057.188203	1.009783813	8.192121
1300	70324.83025	5915.390602	0.9861449699	8.790675
1400	70379.82718	6011.547545	1.002175135	9.403237
1500	70207.058	6050.984898	1.00874967	10.073432
1600	70324.31008	6052.171741	1.008947527	10.66065
1700	70256.34362	5994.911054	0.9994016928	11.279059
1800	70254.98401	6051.908274	1.008903605	11.877008
1900	70426.59069	5995.494311	0.9994989266	12.460301
2000	70589.98253	5989.410314	0.9984846734	13.075189
2100	70209.88297	6011.157373	1.00211009	13.660363
2200	70290.28836	5879.056583	0.9800877858	14.294422
2300	70190.7447	5946.114661	0.9912669269	15.010631
2400	70427.92324	5986.316382	0.9979688893	15.847676
2500	70336.1841	5953.369046	0.9924762934	16.660669
2600	70345.35331	5987.279474	0.9981294447	17.411343
2700	70385.90526	6018.268495	1.003295573	18.081534
2800	70359.63698	5905.461701	0.9844897392	18.783143
2900	70347.22633	5906.424943	0.9846503197	19.442289
3000	70376.38109	5977.681031	0.9965293042	20.388291
3100	70379.5675	5957.432605	0.9931537226	20.987021
3200	70210.09879	5849.239915	0.9751170985	21.603312
3300	70462.40056	6058.929787	1.01007415	22.247284
3400	70453.45889	6131.283027	1.022136038	22.82748
3500	70288.75991	5880.368924	0.980306564	23.528282
3600	70222.80933	6105.454784	1.017830255	24.190707
3700	70381.49046	5910.303436	0.9852968968	24.79576
3800	70272.51896	6108.772875	1.018383408	25.422568
3900	70366.99573	5928.943437	0.9884043405	26.067306
4000	70401.3961	5926.954594	0.9880727839	26.712296
4100	70268.44881	6037.545475	1.006509206	27.344994
4200	70395.94253	6003.495189	1.00083274	27.925706
4300	70427.43746	5984.372129	0.997644766	28.545401
4400	70479.17023	5899.838203	0.9835522553	29.15556
4500	70414.96735	5878.548238	0.9800030405	29.800717
4600	70275.39561	5972.00173	0.9955825173	30.48329
4700	70338.92636	5926.760036	0.9880403495	31.120026
4800	70370.52137	6035.481466	1.006165119	31.804243
4900	70473.63648	6007.625857	1.001521356	32.477294
5000	70270.06718	5987.358671	0.9981426475	33.093903
5100	70185.27681	5912.684361	0.985693817	33.762698
5200	70344.68368	6061.967457	1.010580555	34.363475
5300	70513.61181	6150.631068	1.025361518	35.250853
5400	70466.63502	5999.602995	1.000183879	35.908384
5500	70287.69365	5983.653564	0.9975249753	36.572866
5600	70230.54729	5839.411714	0.9734786553	37.602974
5700	70347.00109	5931.691514	0.9888624679	38.384157
5800	70249.86292	6091.637175	1.015526744	39.100029
5900	70300.99176	6179.913153	1.030243086	39.833912
6000	70338.05245	5992.318319	0.9989694622	40.461142
6100	70151.54112	5888.584499	0.9816761688	41.22113
6200	70428.87853	5898.869376	0.9833907437	41.995214
6300	70283.64475	5987.842694	0.9982233382	42.667492
6400	70450.41419	6132.346343	1.022313302	43.421801
6500	70277.67484	5992.030832	0.9989215357	44.072622
6600	70202.73801	5952.100567	0.9922648273	44.703961
6700	70451.00014	6002.760225	1.000710215	45.414556
6800	70309.88424	5969.048985	0.9950902701	46.01637
6900	70285.25436	6015.20283	1.002784501	46.605601
7000	70295.989	6139.34015	1.023479228	47.245569
7100	70372.63392	5955.911483	0.9929001389	47.896221
7200	70394.74942	5971.777091	0.9955450681	48.797234
7300	70283.01877	5790.547077	0.9653325127	49.489785
7400	70262.08597	6028.379296	1.004981128	50.60116
7500	70483.84638	6019.498016	1.003500544	51.559551
7600	70259.02073	6000.715293	1.000369308	52.260253
7700	70227.03113	5939.720113	0.9902009024	52.892307
7800	70291.98494	5945.714935	0.9912002892	53.517978
7900	70489.41887	5961.514841	0.9938342654	54.126404
8000	70226.79192	5944.262294	0.9909581218	54.80983
8100	70365.55656	5932.331681	0.9889691892	55.486121
8200	70261.86322	6089.585175	1.015184659	56.114393
8300	70253.34156	6060.578999	1.010349087	56.742254
8400	70370.66553	6057.632062	1.009857808	57.37795
8500	70195.32398	5942.467843	0.9906589718	58.017708
8600	70310.94323	5927.507378	0.9881649375	58.633728
8700	70214.88034	6069.935406	1.011908878	59.288954
8800	70221.10329	5960.601508	0.9936820051	59.951776
8900	70314.13545	6031.724547	1.005538809	60.593398
9000	70272.34091	6130.076342	1.021934874	61.237495
9100	70263.06106	6094.448856	1.015995475	61.888732
9200	70238.37183	5881.459638	0.9804883951	62.511016
9300	70285.17946	5925.5782	0.9878433275	63.132181
9400	70271.01854	5973.423479	0.9958195348	63.799507
9500	70201.97065	5923.332946	0.9874690248	64.417359
9600	70240.88132	5937.329703	0.989802401	65.020083
9700	70282.1765	5915.581916	0.9861768635	65.640867
9800	70202.04142	6026.21243	1.004619893	66.301667
9900	70332.37434	5987.395213	0.9981487393	66.927642
