timestep	potential_energy	kinetic_energy	temperature	time
0	30339.07176	6018.500813	1.003334302	0.038867
100	30256.49273	5944.32958	0.9909693389	0.846995
200	30336.88156	6005.247853	1.001124923	1.348149
300	30311.76902	6003.199043	1.00078337	1.869905
400	30418.02161	5998.244559	0.9999574158	2.381181
500	30428.409	5872.516099	0.9789974325	2.877194
600	30282.17581	6064.047296	1.010927281	3.385122
700	30295.57544	5923.91317	0.987565753	3.8883
800	30504.68038	5908.612419	0.9850149903	4.375053
900	30420.45369	5869.931786	0.978566606	4.859172
1000	30259.97189	6051.119217	1.008772063	5.38703
1100	30270.37687	6126.483661	1.021335944	5.858395
1200	30382.18533	6047.775659	1.008214663	6.363321
1300	30328.23922	5948.92436	0.9917353272	6.875905
1400	30165.75371	5951.71901	0.9922012186	7.396927
1500	30302.02556	5954.799927	0.9927148332	7.918254
1600	30289.59945	6063.907295	1.010903942	8.428368
1700	30343.85776	5991.714225	0.9988687546	8.931322
1800	30311.86946	5989.889664	0.9985645852	9.427907
1900	30359.81565	6010.842033	1.00205752	9.941256
2000	30229.94698	6084.096381	1.014269631	10.442441
2100	30321.46773	5911.371445	0.9854749429	10.942631
2200	30312.25238	5934.381115	0.9893108469	11.438869
2300	30241.22737	6095.85758	1.016230321	11.936637
2400	30408.66994	6020.922796	1.003738067	12.421868
2500	30325.14675	6000.130763	1.000271862	12.912118
2600	30338.54021	5931.749579	0.9888721478	13.421482
2700	30311.78962	5896.213363	0.9829479641	13.936932
2800	30181.77699	5989.967632	0.9985775831	14.45176
2900	30436.76173	5826.21189	0.9712781346	14.967946
3000	30284.91079	5992.192419	0.9989484736	15.501187
3100	30296.08992	5984.033774	0.9975883594	16.107365
3200	30307.83461	5952.479741	0.9923280388	16.730692
3300	30263.97903	6039.645495	1.006859297	17.2738
3400	30364.28309	6058.294399	1.009968225	17.779822
3500	30408.89807	6045.206911	1.007786432	18.296318
3600	30359.26558	5893.10491	0.9824297591	18.840537
3700	30133.02798	5969.059896	0.9950920891	19.346167
3800	30290.50034	5969.278169	0.995128477	19.884409
3900	30242.00233	5979.251586	0.9967911288	20.390203
4000	30356.1819	6059.274098	1.010131549	20.911572
4100	30314.30843	6030.000497	1.005251396	21.518668
4200	30400.42566	6005.94547	1.001241222	22.028725
4300	30237.66639	6163.774941	1.027552712	22.534593
4400	30373.28474	6063.340341	1.010809426	23.036667
4500	30195.90798	6013.410751	1.002485747	23.533531
4600	30269.97359	6019.108612	1.003435628	24.093873
4700	30394.62718	5993.486632	0.9991642297	24.581399
4800	30280.71433	6162.299735	1.027306783	25.065314
4900	30278.41086	6063.297693	1.010802316	25.579382
5000	30383.3748	6024.468598	1.004329182	26.104958
5100	30220.51993	5880.596118	0.9803444391	26.693078
5200	30354.57176	5822.907622	0.9707272855	27.172268
5300	30297.8457	6018.213242	1.003286362	27.664976
5400	30377.09029	5992.037586	0.9989226617	28.149998
5500	30305.47206	5953.950989	0.9925733081	28.619408
5600	30309.15265	6033.405736	1.005819078	29.1665
5700	30273.66501	6007.519183	1.001503573	29.669223
5800	30308.85296	6059.374655	1.010148313	30.166048
5900	30215.91606	6036.217681	1.006287852	30.666519
6000	30308.03743	6099.484243	1.016834916	31.196214
6100	30294.76133	6124.688135	1.021036615	31.734774
6200	30380.4673	6108.771991	1.018383261	32.265458
6300	30238.51662	6066.028711	1.0112576	32.77348
6400	30314.28349	6002.943736	1.000740808	33.278413
6500	30414.8718	6099.824811	1.016891691	33.789111
6600	30378.56336	5989.479793	0.9984962563	34.287606
6700	30326.39675	6025.878269	1.004564186	34.815256
6800	30261.07144	5934.846767	0.9893884749	35.299943
6900	30364.84654	5974.384297	0.9959797111	35.855087
7000	30320.23	5946.479318	0.9913277183	36.347539
7100	30312.05989	6118.753977	1.020047341	36.868002
7200	30230.71425	5949.362824	0.9918084228	37.348269
7300	30257.6303	5990.419086	0.9986528442	38.01042
7400	30418.95375	5999.009318	1.000084908	38.520538
7500	30478.85657	6054.083115	1.009266169	39.037006
7600	30363.80477	5941.154975	0.9904401059	39.573636
7700	30263.24784	5951.046539	0.992089112	40.104467
7800	30315.19139	6023.441997	1.004158039	40.601757
7900	30135.40231	6042.678134	1.007364864	41.10257
8000	30366.00852	5908.520563	0.9849996771	41.587648
8100	30315.14134	6120.889538	1.020403357	42.099155
8200	30313.49089	5939.367118	0.9901420552	42.6268
8300	30334.33884	5896.768784	0.9830405575	43.121365
8400	30411.53835	5979.058211	0.9967588916	43.621733
8500	30283.00986	6079.828047	1.013558064	44.141936
8600	30356.16426	6051.242646	1.008792639	44.654016
8700	30233.43957	6025.409293	1.004486004	45.144683
8800	30248.98879	5887.588457	0.9815101204	45.628079
8900	30320.44367	5998.642365	1.000023733	46.110611
9000	30345.15134	6054.603529	1.009352926	46.6027
9100	30311.63382	6038.842848	1.006725489	47.121616
9200	30298.50886	6013.422383	1.002487686	47.609913
9300	30326.3862	6073.254547	1.012462207	48.116067
9400	30388.76008	5942.96115	0.9907412102	48.624921
9500	30309.20508	5974.633764	0.9960212994	49.12392
9600	30331.10717	6106.574084	1.018016851	49.625962
9700	30271.47749	6211.520263	1.035512255	50.126445
9800	30349.75678	6113.459852	1.019164766	50.628176
9900	30328.11806	5955.35346	0.9928071117	51.136404
