timestep	potential_energy	kinetic_energy	temperature	time
0	33578.64376	6018.500813	1.003334302	0.027862
100	29761.27466	5378.166236	0.8965851857	0.737934
200	31259.67476	5717.479656	0.9531515639	1.207753
300	31135.44452	6057.4735	1.009831375	1.674028
400	30861.49146	6044.665384	1.007696155	2.136454
500	30776.58727	5910.443245	0.9853202042	2.607682
600	30971.35371	5925.62931	0.987851848	3.095474
700	30746.35337	6039.162558	1.006778788	3.589298
800	30740.26251	5868.053793	0.9782535288	4.064568
900	30496.88604	5839.16161	0.9734369609	4.536819
1000	30499.0689	6020.172374	1.003612966	5.000177
1100	30313.46154	6051.338643	1.008808643	5.463167
1200	30156.72369	5841.108281	0.9737614872	5.921887
1300	30009.98943	5896.293855	0.9829613829	6.389395
1400	29776.77985	5951.476694	0.9921608225	6.856833
1500	29790.60282	5815.342313	0.9694660854	7.31232
1600	29546.86545	6086.139471	1.014610231	7.767005
1700	29434.21457	6034.616856	1.006020981	8.221443
1800	29326.47763	6023.152692	1.004109809	8.677329
1900	29393.3765	5878.601605	0.9800119372	9.131985
2000	29271.11429	5875.326236	0.9794659058	9.586827
2100	29264.1762	6044.130992	1.007607067	10.043712
2200	29405.94502	6039.178849	1.006781504	10.512235
2300	29455.39863	6006.837718	1.001389967	10.965917
2400	29428.83196	5959.964162	0.9935757543	11.428739
2500	29432.08801	5796.809131	0.9663764493	11.883638
2600	29455.61401	5991.921429	0.9989032974	12.347908
2700	29570.20146	6066.889765	1.011401144	12.814769
2800	29583.92877	6067.647454	1.011527457	13.270055
2900	29532.62302	5972.503802	0.9956662169	13.724973
3000	29542.11438	5998.722972	1.000037171	14.169295
3100	29601.00002	6024.039566	1.004257659	14.628187
3200	29488.57487	5985.88127	0.9978963525	15.083387
3300	29491.96259	6097.478769	1.016500587	15.538612
3400	29520.04597	6086.33925	1.014643536	15.993369
3500	29518.76636	6120.195536	1.020287661	16.485853
3600	29579.01835	5958.178961	0.9932781464	16.997661
3700	29562.46795	5967.868564	0.9948934841	17.49654
3800	29536.0226	5929.164055	0.9884411195	18.006033
3900	29433.01346	6022.910074	1.004069363	18.503258
4000	29450.63755	6048.115526	1.008271322	18.964198
4100	29572.1912	6031.609322	1.0055196	19.424596
4200	29542.92364	6041.941888	1.007242125	19.880028
4300	29544.06932	6202.393545	1.033990755	20.345131
4400	29588.153	6071.857989	1.012229389	20.823452
4500	29596.48186	6058.341245	1.009976035	21.278535
4600	29547.53241	6000.574678	1.000345866	21.734708
4700	29641.33903	5869.619772	0.9785145906	22.190227
4800	29492.9389	5883.237854	0.9807848386	22.638479
4900	29554.90949	5987.642159	0.9981899074	23.122075
5000	29527.36164	5953.069849	0.9924264147	23.587625
5100	29325.43983	5936.334058	0.9896364189	24.116571
5200	29547.00901	6024.210291	1.00428612	24.573601
5300	29554.52336	5982.677186	0.9973622049	25.035616
5400	29586.94471	6152.100422	1.025606472	25.496734
5500	29531.31566	5963.868181	0.9942265867	25.967659
5600	29491.81555	5986.474849	0.997995307	26.435676
5700	29512.01787	5954.482547	0.9926619233	26.941583
5800	29412.19337	5988.952249	0.9984083102	27.406477
5900	29525.39411	6013.150746	1.002442402	27.881863
6000	29567.21449	5880.837232	0.9803846348	28.370015
6100	29494.45015	5880.458888	0.9803215617	29.050261
6200	29460.66934	5875.581919	0.9795085303	29.532099
6300	29561.3108	5927.451582	0.9881556359	30.012092
6400	29680.85342	5888.582859	0.9816758954	30.473564
6500	29437.37207	5877.901482	0.9798952208	30.945493
6600	29449.25776	6054.763193	1.009379544	31.410331
6700	29631.48435	6054.653526	1.009361261	31.881104
6800	29622.76558	5982.412801	0.9973181297	32.386934
6900	29534.60616	5964.923003	0.9944024345	32.886764
7000	29598.74438	6005.291491	1.001132198	33.378684
7100	29601.58201	6133.357441	1.022481861	33.835891
7200	29508.96341	6073.997888	1.012586128	34.292488
7300	29494.81807	5952.324298	0.9923021252	34.747602
7400	29505.64595	6176.615956	1.029693416	35.220238
7500	29503.28871	5948.752634	0.991706699	35.808583
7600	29528.79517	6012.97019	1.002412301	36.264532
7700	29655.83721	5989.578584	0.9985127255	36.728562
7800	29531.553	6043.918465	1.007571637	37.1837
7900	29651.48644	5879.359501	0.9801382848	37.63767
8000	29477.55439	5932.488201	0.9889952823	38.109366
8100	29512.42654	5977.06463	0.996426545	38.568453
8200	29538.6366	5851.199195	0.9754437267	39.032235
8300	29585.53461	5989.89033	0.9985646962	39.503084
8400	29640.31493	5997.441616	0.9998235585	39.965351
8500	29573.30222	5954.279747	0.9926281148	40.433893
8600	29384.95225	5892.399679	0.9823121912	40.895744
8700	29596.67489	5957.787779	0.993212933	41.375116
8800	29568.0355	6127.562544	1.021515803	41.839522
8900	29590.61893	6000.458906	1.000326566	42.341285
9000	29367.15685	5915.521864	0.9861668524	42.828183
9100	29534.57621	6104.510684	1.017672865	43.292562
9200	29686.89826	6053.278776	1.009132079	43.776013
9300	29562.19816	5947.753866	0.991540196	44.259021
9400	29520.34833	6013.275697	1.002463232	44.740476
9500	29457.66269	6046.036409	1.007924716	45.214536
9600	29524.18124	5889.521478	0.9818323711	45.678409
9700	29569.31451	6067.916875	1.011572372	46.132735
9800	29543.11523	6040.305005	1.006969243	46.596976
9900	29569.32184	6079.30772	1.013471321	47.067877
