timestep	potential_energy	kinetic_energy	temperature	time
0	213578.6438	6018.500813	1.003334302	0.058183
100	137839.0726	4779.391382	0.7967644214	1.419696
200	109784.8315	4821.513957	0.8037866062	2.568115
300	108468.6501	6214.043488	1.035932898	5.157416
400	102142.6479	7092.809292	1.18243049	6.482429
500	84414.40177	6123.840136	1.020895246	7.544713
600	69382.03178	5838.179582	0.9732732486	8.552735
700	60404.09522	5779.659399	0.9635174459	9.45691
800	59790.7306	5963.160626	0.9941086315	10.264797
900	60692.37071	6166.742383	1.028047409	11.018098
1000	59983.24431	6068.691928	1.01170158	11.74913
1100	60610.10485	5933.492892	0.9891627727	12.480887
1200	60020.07953	5910.319604	0.9852995923	13.168996
1300	60409.06634	5944.150719	0.9909395214	13.917841
1400	60032.88336	5857.536139	0.9765001482	14.85417
1500	60456.79968	5957.208775	0.9931164083	15.661436
1600	60328.29303	5952.481459	0.9923283253	16.471941
1700	60319.67979	5957.887976	0.9932296367	17.331206
1800	60129.7634	5998.404254	0.9999840383	18.270829
1900	60217.91855	5947.34217	0.9914715629	19.129668
2000	60190.88864	5893.571677	0.9825075731	20.069384
2100	60247.3143	6051.747069	1.008876731	20.842229
2200	60141.03357	5883.438837	0.9808183441	21.574888
2300	59996.79371	5906.104181	0.984596846	22.394212
2400	60072.72508	6082.904769	1.014070979	23.107012
2500	60066.53765	6001.518002	1.000503126	23.872003
2600	60081.2582	5970.890788	0.995397314	24.545051
2700	60143.59923	5885.391951	0.9811439445	25.186245
2800	60134.28799	5993.227856	0.9991210896	25.845363
2900	60215.66461	5927.981609	0.9882439958	26.502007
3000	60165.17322	6047.860577	1.00822882	27.163727
3100	60234.91824	6041.600327	1.007185184	27.839853
3200	60085.82756	5877.660489	0.9798550452	28.512305
3300	60070.89548	5861.724688	0.9771984143	29.183464
3400	60044.6497	6067.179175	1.011449391	29.834174
3500	60079.50845	5999.349659	1.000141645	30.513301
3600	60084.94545	5876.407649	0.9796461864	31.20274
3700	60026.58142	5882.695338	0.9806943967	31.86424
3800	60102.86404	5922.230988	0.9872853194	32.534749
3900	60136.45437	6010.159385	1.001943717	33.206978
4000	60057.42429	6016.285611	1.00296501	33.886864
4100	60047.84817	5810.539163	0.9686653602	34.576107
4200	60073.59241	6003.612583	1.00085231	35.247965
4300	60245.21463	6103.601992	1.017521379	35.898713
4400	60061.81087	5956.204944	0.9929490613	36.581678
4500	60034.67613	5936.08048	0.9895941451	37.255041
4600	60137.05341	5842.819216	0.9740467144	37.927683
4700	60036.27285	6009.165536	1.001778034	38.611378
4800	60079.41054	5971.885759	0.995563184	39.286022
4900	59993.51523	5977.81837	0.9965521997	39.942054
5000	60113.38428	6021.796745	1.003883762	40.62964
5100	60029.6974	6029.25622	1.005127319	41.286989
5200	59977.36423	5873.378361	0.9791411788	41.928138
5300	59988.27461	6016.732127	1.003039448	42.542503
5400	60074.53971	5979.906435	0.9969002975	43.170294
5500	60085.4185	5922.65767	0.9873564507	43.793122
5600	60060.01208	5982.37445	0.9973117362	44.416394
5700	59933.18963	6037.357098	1.006477802	45.04878
5800	60027.85816	6059.66513	1.010196737	45.69737
5900	60002.28791	5842.857571	0.9740531085	46.345216
6000	60021.05483	5971.110528	0.9954339466	47.051731
6100	59925.41657	6084.151856	1.014278879	47.786748
6200	60084.15893	6112.033397	1.018926965	48.650856
6300	60122.05113	5871.311694	0.9787966481	49.335908
6400	60092.88045	5907.798953	0.9848793787	50.010139
6500	59946.30528	6081.566978	1.013847958	50.682056
6600	60057.12532	6142.208722	1.023957443	51.430445
6700	59975.03413	5898.709133	0.9833640298	52.328669
6800	60026.61388	5841.725046	0.9738643071	53.021405
6900	60047.27478	6137.473739	1.023168082	53.764968
7000	59946.8235	5975.819415	0.9962189572	54.453811
7100	59900.67561	5977.282401	0.9964628491	55.110876
7200	60049.84993	6006.810798	1.001385479	55.788776
7300	60003.43426	5953.159119	0.9924412969	56.450277
7400	59863.62908	6009.712241	1.001869174	57.105586
7500	59945.19625	6127.649774	1.021530345	57.823836
7600	60046.99502	6170.198154	1.028623515	58.584625
7700	59940.35325	6032.569305	1.005679637	59.258945
7800	59930.74446	5875.887294	0.9795594388	59.93536
7900	59883.2864	6007.885623	1.001564662	60.591701
8000	60010.64981	6051.063013	1.008762693	61.223422
8100	60190.35923	5998.203681	0.9999506011	61.861168
8200	59830.94208	5926.68047	0.9880270852	62.49697
8300	59889.21333	5947.44242	0.9914882754	63.134358
8400	60092.60495	5951.471116	0.9921598926	63.782937
8500	59935.5888	6096.880258	1.01640081	64.418142
8600	59896.62046	6119.718918	1.020208205	65.037444
8700	59990.34127	5960.910907	0.9937335845	65.647801
8800	60099.76727	6046.778575	1.008048441	66.287089
8900	60027.40935	6055.388803	1.009483838	66.912924
9000	60102.13234	5924.697588	0.9876965221	67.573035
9100	59958.4175	5955.939662	0.9929048365	68.242121
9200	59940.98441	6014.302558	1.002634418	68.888283
9300	59880.25145	5922.2884	0.9872948904	69.50541
9400	60034.10288	6026.080455	1.004597892	70.129602
9500	60061.43799	6164.935019	1.027746106	70.746575
9600	59922.14904	6063.368652	1.010814145	71.34932
9700	59955.92149	5840.560619	0.9736701873	71.968145
9800	59816.36825	5971.632918	0.9955210332	72.579709
9900	59851.09909	5861.290155	0.9771259741	73.191952
