timestep	potential_energy	kinetic_energy	temperature	time
0	52957.48772	2115.386819	1.028634486	0.020304
100	37246.2582	980.2252787	0.4766473517	0.648719
200	37933.67944	1800.986246	0.8757530979	1.112613
300	35484.68075	2172.963059	1.056631685	1.451012
400	28114.93952	2043.043003	0.9934563592	1.724966
500	21632.81709	1919.838142	0.9335463855	1.945561
600	20803.32632	2060.303238	1.001849374	2.163239
700	20734.80996	1971.933946	0.9588786512	2.368427
800	20904.01326	2097.548269	1.019960257	2.5594
900	20883.61928	2087.414983	1.015032814	2.757377
1000	20731.6329	1979.963614	0.9627831823	2.948135
1100	20624.715	2024.226293	0.9843064881	3.157266
1200	20693.87818	2039.675138	0.9918186907	3.351457
1300	20748.02008	2116.481541	1.029166808	3.541711
1400	20726.95524	2096.987362	1.019687509	3.742668
1500	20693.5102	2063.234074	1.003274532	3.948067
1600	20712.49117	2075.19167	1.009089069	4.150833
1700	20708.89956	2113.903855	1.027913374	4.368366
1800	20612.0464	2059.671517	1.001542192	4.57255
1900	20702.38935	2075.109076	1.009048906	4.779061
2000	20681.93983	2071.038541	1.007069555	4.982979
2100	20580.10635	2044.764905	0.9942936567	5.210133
2200	20545.88007	1989.798318	0.9675654353	5.407595
2300	20612.54955	2035.761631	0.9899156971	5.67017
2400	20682.74112	2089.071703	1.015838416	5.923548
2500	20552.32188	2036.83409	0.9904371942	6.12306
2600	20614.5105	2018.94536	0.9817385657	6.317321
2700	20569.94834	1997.295409	0.9712109938	6.513145
2800	20603.9642	1977.578863	0.9616235656	6.702175
2900	20568.94892	2003.665799	0.9743086793	6.898858
3000	20561.32999	2067.028122	1.005119437	7.091457
3100	20620.64657	2010.152258	0.9774628045	7.288425
3200	20580.65257	2082.673984	1.012727442	7.477497
3300	20560.57446	2150.975653	1.045940021	7.666258
3400	20669.74242	2033.504694	0.988818232	7.854261
3500	20578.12397	2043.021175	0.9934457451	8.04427
3600	20600.2915	2029.290801	0.9867691714	8.233777
3700	20609.68197	2048.123848	0.9959269868	8.421795
3800	20521.60281	2102.280621	1.022261425	8.610447
3900	20539.92759	2145.373965	1.043216127	8.799192
4000	20637.79588	2046.174803	0.9949792381	8.992439
4100	20543.80294	2064.826203	1.004048725	9.184698
4200	20461.82591	1998.037512	0.971571851	9.37333
4300	20497.5356	2029.493589	0.9868677797	9.563047
4400	20589.55274	2074.587367	1.008795218	9.780467
4500	20560.0724	2048.464105	0.9960924408	10.019904
4600	20561.49313	2040.126321	0.9920380846	10.24033
4700	20570.21916	2072.997303	1.008022029	10.450089
4800	20578.80365	2025.359736	0.9848576395	10.643892
4900	20635.71651	1988.963313	0.9671594034	10.837048
5000	20533.78903	2112.165995	1.027068318	11.027415
5100	20519.36421	2016.450697	0.9805255033	11.217739
5200	20537.68207	2105.707894	1.023927982	11.408045
5300	20606.53895	2049.538259	0.9966147624	11.596525
5400	20531.4829	2056.805843	1.00014872	11.785698
5500	20583.81796	2047.406112	0.9955779781	11.977045
5600	20565.81794	2095.25254	1.018843929	12.174953
5700	20465.02031	2054.721291	0.9991350795	12.364747
5800	20483.82664	2065.689314	1.004468424	12.587046
5900	20580.87304	2116.692464	1.029269372	12.820611
6000	20606.00433	2123.531943	1.032595158	13.046109
6100	20597.31951	2090.715685	1.016637824	13.25159
6200	20451.18932	2025.518651	0.9849349143	13.45146
6300	20470.36918	2039.495485	0.9917313323	13.662713
6400	20596.35049	2048.035389	0.9958839723	13.889274
6500	20554.12657	1998.966566	0.9720236158	14.165098
6600	20534.56768	2138.353627	1.039802396	14.384527
6700	20576.6586	2033.635255	0.9888817191	14.587861
6800	20548.25849	1975.392632	0.9605604822	14.798386
6900	20555.77984	2037.892786	0.9909519991	15.000893
7000	20566.9372	2012.977245	0.9788364914	15.196334
7100	20576.77161	2150.03304	1.045481663	15.390906
7200	20504.70233	2088.321845	1.015473788	15.581185
7300	20557.80557	2059.014767	1.001222838	15.771764
7400	20490.54827	1990.49174	0.9679026212	15.960915
7500	20534.20939	1991.610842	0.9684467991	16.153043
7600	20510.26469	1997.012447	0.9710733998	16.346119
7700	20549.09102	2074.885988	1.008940427	16.535333
7800	20533.10509	2062.967089	1.003144707	16.729483
7900	20527.2536	2001.207785	0.9731134379	16.924322
8000	20520.97375	2080.52311	1.011681551	17.120095
8100	20564.46791	2062.430694	1.002883878	17.310868
8200	20454.80605	2043.465435	0.9936617726	17.528152
8300	20543.69996	2058.949157	1.001190934	17.731515
8400	20620.50798	2069.649932	1.006394326	17.921412
8500	20484.15795	2177.248725	1.058715645	18.133011
8600	20517.66946	2012.058836	0.9783899035	18.368041
8700	20440.77135	2046.190387	0.9949868158	18.589927
8800	20512.41531	1949.497796	0.9479687799	18.784349
8900	20614.98628	2054.241458	0.9989017543	18.975462
9000	20547.25889	2108.154551	1.025117701	19.171302
9100	20453.17775	2005.815137	0.9753538229	19.362166
9200	20514.61988	2111.724773	1.026853768	19.551727
9300	20561.30073	2099.370427	1.020846305	19.74125
9400	20477.15153	2118.132047	1.029969388	19.931605
9500	20492.8701	2012.858228	0.9787786182	20.124003
9600	20496.98329	2062.188263	1.002765992	20.321243
9700	20525.36848	2063.288232	1.003300867	20.511108
9800	20462.24234	1922.937641	0.9350535573	20.705178
9900	20568.07446	1981.924171	0.9637365284	20.893864
